,Player,Cluster
0,Luka DonÄiÄ,2
1,Giannis Antetokounmpo,2
2,Shai Gilgeous-Alexander,2
3,Jalen Brunson,2
4,Devin Booker,2
5,Kevin Durant,2
6,Jayson Tatum,2
7,De'Aaron Fox,2
8,Donovan Mitchell,2
9,Stephen Curry,2
10,Nikola JokiÄ,2
11,Anthony Edwards,2
12,Tyrese Maxey,2
13,LeBron James,2
14,Trae Young,2
15,Kyrie Irving,2
16,Anthony Davis,2
17,Damian Lillard,2
18,DeMar DeRozan,2
19,Julius Randle,2
20,Desmond Bane,5
21,Kawhi Leonard,2
22,Lauri Markkanen,5
23,Jaylen Brown,2
24,Zion Williamson,2
25,Cade Cunningham,2
26,Paolo Banchero,2
27,Paul George,5
28,Anfernee Simons,5
29,Jaren Jackson Jr.,2
30,Dejounte Murray,2
31,Cam Thomas,6
32,Kyle Kuzma,2
33,Karl-Anthony Towns,5
34,Pascal Siakam,2
35,Victor Wembanyama,2
36,Jamal Murray,5
37,Alperen Sengun,2
38,Miles Bridges,2
39,Jerami Grant,6
40,Jimmy Butler,5
41,Tyler Herro,6
42,Brandon Ingram,5
43,RJ Barrett,5
44,Tyrese Haliburton,5
45,Kristaps PorziÅÄ£is,5
46,CJ McCollum,5
47,Scottie Barnes,2
48,Terry Rozier,5
49,Franz Wagner,5
50,Mikal Bridges,5
51,Jalen Green,5
52,Devin Vassell,5
53,Domantas Sabonis,2
54,Bam Adebayo,2
55,Coby White,5
56,Jalen Williams,5
57,Collin Sexton,6
58,Bradley Beal,5
59,Darius Garland,5
60,D'Angelo Russell,5
61,Nikola VuÄeviÄ,2
62,Klay Thompson,6
63,Jordan Poole,6
64,Fred VanVleet,5
65,Brandon Miller,5
66,Tobias Harris,5
67,Jordan Clarkson,6
68,Myles Turner,5
69,Immanuel Quickley,6
70,Bogdan BogdanoviÄ,6
71,Deandre Ayton,5
72,Michael Porter Jr.,5
73,James Harden,5
74,Jarrett Allen,5
75,Chet Holmgren,5
76,Jonathan Kuminga,6
77,Jalen Johnson,5
78,Austin Reaves,6
79,Keldon Johnson,6
80,Evan Mobley,5
