age,ast,awards,blk,drb,efg_pct,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,games,games_started,mp,name_display,orb,pf,pos,pts,stl,team_name_abbr,tov,trb
24,686,"MVP-3,CPOY-6,AS,NBA1",38,588,.573,804,520,.573,908,284,.382,744,.487,1652,478,.786,608,70,70,2624,Luka DonÄiÄ,59,149,PG,2370,99,DAL,282,647
25,465,"MVP-2,DPOY-7,CPOY-3,AS,NBA1",67,350,.567,796,701,.576,1218,95,.353,269,.535,1487,567,.874,649,75,75,2553,Shai Gilgeous-Alexander,65,184,PG,2254,150,OKC,162,415
29,476,"MVP-4,DPOY-9,CPOY-12,AS,NBA1",79,645,.624,837,803,.645,1245,34,.274,124,.611,1369,514,.657,782,73,73,2567,Giannis Antetokounmpo,196,210,PF,2222,87,MIL,250,841
27,519,"MVP-5,CPOY-5,AS,NBA2",13,235,.543,790,579,.516,1122,211,.401,526,.479,1648,421,.847,497,77,77,2726,Jalen Brunson,43,144,PG,2212,70,NYK,186,278
28,708,"MVP-1,CPOY-4,AS,NBA1",68,753,.612,822,739,.626,1180,83,.359,231,.583,1411,358,.817,438,79,79,2737,Nikola JokiÄ,223,194,C,2085,108,DEN,237,976
22,405,"MVP-7,CPOY-8,AS,NBA2",42,378,.522,718,528,.515,1026,190,.357,532,.461,1558,423,.836,506,79,78,2770,Anthony Edwards,52,141,SG,2049,101,MIN,241,430
35,378,"MVP-9,AS,NBA2",91,454,.581,751,583,.567,1029,168,.413,407,.523,1436,362,.856,423,75,75,2791,Kevin Durant,41,133,PF,2032,69,PHO,244,495
25,364,"MVP-6,CPOY-9,AS,NBA1",43,534,.552,672,443,.542,817,229,.376,609,.471,1426,414,.833,497,74,74,2645,Jayson Tatum,67,145,PF,1987,75,BOS,188,601
26,418,CPOY-12,31,273,.534,720,506,.522,969,214,.369,580,.465,1549,312,.738,423,74,74,2659,De'Aaron Fox,67,193,PG,1966,150,SAC,194,340
35,379,"CPOY-1,AS,NBA3",28,293,.573,650,293,.515,569,357,.408,876,.450,1445,299,.923,324,74,74,2421,Stephen Curry,37,117,PG,1956,54,GSW,210,330
34,421,CPOY-2,45,297,.507,650,575,.509,1130,75,.333,225,.480,1355,522,.853,612,79,79,2989,DeMar DeRozan,43,161,SF,1897,90,CHI,135,340
30,266,"DPOY-4,AS,NBA2",178,722,.567,713,684,.582,1176,29,.271,107,.556,1283,421,.816,516,76,76,2700,Anthony Davis,239,177,C,1876,91,LAL,159,961
27,472,"AS,NBA3",28,252,.550,642,490,.552,887,152,.364,418,.492,1305,405,.886,457,68,68,2447,Devin Booker,56,206,PG,1841,61,PHO,178,308
39,589,"CPOY-10,AS,NBA3",38,457,.599,685,536,.592,906,149,.410,363,.540,1269,303,.750,404,71,71,2504,LeBron James,61,78,PF,1822,89,LAL,245,518
23,433,"MIP-1,AS",33,222,.524,638,426,.501,850,212,.373,569,.450,1419,328,.868,378,70,70,2626,Tyrese Maxey,36,151,PG,1816,69,PHI,116,258
21,431,AS,47,472,.497,640,521,.493,1056,119,.339,351,.455,1407,405,.725,559,80,80,2799,Paolo Banchero,82,153,PF,1804,71,ORL,247,554
33,508,"CPOY-11,AS",18,284,.510,541,321,.490,655,220,.354,622,.424,1277,473,.920,514,73,73,2579,Damian Lillard,36,134,PG,1775,72,MIL,193,320
27,502,,24,354,.528,672,471,.518,909,201,.363,554,.459,1463,208,.794,262,78,78,2783,Dejounte Murray,62,138,SG,1753,111,ATL,201,416
29,342,,25,426,.569,681,596,.581,1025,85,.346,246,.536,1271,290,.732,396,80,80,2657,Pascal Siakam,139,193,PF,1737,63,2TM,141,565
33,262,AS,37,351,.569,582,339,.523,648,243,.413,588,.471,1236,264,.907,291,74,74,2502,Paul George,37,202,PF,1671,113,LAC,153,388
