age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
24,9.8,"MVP-3,CPOY-6,AS,NBA1",0.5,8.4,.573,.573,7.4,13.0,.382,4.1,10.6,.487,11.5,23.6,.786,6.8,8.7,70,70,37.5,Luka DonÄiÄ,0.8,2.1,PG,33.9,1.4,DAL,4.0,9.2
29,6.5,"MVP-4,DPOY-9,CPOY-12,AS,NBA1",1.1,8.8,.624,.645,11.0,17.1,.274,0.5,1.7,.611,11.5,18.8,.657,7.0,10.7,73,73,35.2,Giannis Antetokounmpo,2.7,2.9,PF,30.4,1.2,MIL,3.4,11.5
25,6.2,"MVP-2,DPOY-7,CPOY-3,AS,NBA1",0.9,4.7,.567,.576,9.3,16.2,.353,1.3,3.6,.535,10.6,19.8,.874,7.6,8.7,75,75,34.0,Shai Gilgeous-Alexander,0.9,2.5,PG,30.1,2.0,OKC,2.2,5.5
27,6.7,"MVP-5,CPOY-5,AS,NBA2",0.2,3.1,.543,.516,7.5,14.6,.401,2.7,6.8,.479,10.3,21.4,.847,5.5,6.5,77,77,35.4,Jalen Brunson,0.6,1.9,PG,28.7,0.9,NYK,2.4,3.6
27,6.9,"AS,NBA3",0.4,3.7,.550,.552,7.2,13.0,.364,2.2,6.1,.492,9.4,19.2,.886,6.0,6.7,68,68,36.0,Devin Booker,0.8,3.0,PG,27.1,0.9,PHO,2.6,4.5
35,5.0,"MVP-9,AS,NBA2",1.2,6.1,.581,.567,7.8,13.7,.413,2.2,5.4,.523,10.0,19.1,.856,4.8,5.6,75,75,37.2,Kevin Durant,0.5,1.8,PF,27.1,0.9,PHO,3.3,6.6
25,4.9,"MVP-6,CPOY-9,AS,NBA1",0.6,7.2,.552,.542,6.0,11.0,.376,3.1,8.2,.471,9.1,19.3,.833,5.6,6.7,74,74,35.7,Jayson Tatum,0.9,2.0,PF,26.9,1.0,BOS,2.5,8.1
26,5.6,CPOY-12,0.4,3.7,.534,.522,6.8,13.1,.369,2.9,7.8,.465,9.7,20.9,.738,4.2,5.7,74,74,35.9,De'Aaron Fox,0.9,2.6,PG,26.6,2.0,SAC,2.6,4.6
27,6.1,AS,0.5,4.3,.545,.539,5.8,10.8,.368,3.3,9.0,.462,9.1,19.8,.865,5.0,5.8,55,55,35.3,Donovan Mitchell,0.8,2.1,SG,26.6,1.8,CLE,2.8,5.1
35,5.1,"CPOY-1,AS,NBA3",0.4,4.0,.573,.515,4.0,7.7,.408,4.8,11.8,.450,8.8,19.5,.923,4.0,4.4,74,74,32.7,Stephen Curry,0.5,1.6,PG,26.4,0.7,GSW,2.8,4.5
