age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
25,4.6,"MVP-1,DPOY-11,AS,NBA1",0.3,3.1,.447,.441,9.4,21.2,.320,1.4,4.3,.420,10.7,25.5,.814,8.2,10.1,71,71,42.0,Allen Iverson,0.7,2.1,SG,31.1,2.5,PHI,3.3,3.8
26,5.1,"MVP-14,AS",0.7,2.7,.445,.418,7.6,18.2,.351,2.1,5.9,.402,9.7,24.1,.822,8.3,10.1,80,80,40.2,Jerry Stackhouse,1.2,2.0,SG,29.8,1.2,DET,4.1,3.9
28,3.7,"MVP-3,DPOY-8,AS,NBA1",2.8,8.8,.572,.573,11.0,19.2,.000,0.0,0.0,.572,11.0,19.2,.513,6.7,13.1,74,74,39.5,Shaquille O'Neal,3.9,3.5,C,28.7,0.6,LAL,2.9,12.7
22,5.0,"MVP-9,DPOY-11,AS,NBA2",0.6,4.3,.484,.489,9.4,19.3,.305,0.9,2.9,.464,10.3,22.2,.853,7.0,8.2,68,68,40.9,Kobe Bryant,1.5,3.3,SG,28.5,1.7,LAL,3.2,5.9
24,3.9,"MVP-11,AS,NBA2",1.1,3.2,.509,.477,8.0,16.8,.408,2.2,5.3,.460,10.2,22.1,.765,5.1,6.7,75,75,39.7,Vince Carter,2.3,2.7,SF,27.6,1.5,TOR,2.2,5.5
27,4.2,"MVP-4,AS,NBA1",1.7,8.5,.481,.488,11.2,23.0,.071,0.0,0.4,.481,11.2,23.4,.703,4.6,6.6,70,70,40.5,Chris Webber,2.6,3.2,PF,27.1,1.3,SAC,2.8,11.1
21,4.6,"MVP-6,MIP-1,AS,NBA2",1.5,5.0,.474,.468,9.5,20.2,.355,0.8,2.2,.457,10.2,22.4,.733,5.6,7.6,77,77,40.1,Tracy McGrady,2.5,2.1,SG,26.8,1.5,ORL,2.6,7.5
23,3.1,MVP-13,0.8,5.2,.503,.478,6.6,13.8,.383,1.8,4.7,.454,8.4,18.5,.745,6.7,9.0,82,82,38.0,Paul Pierce,1.1,3.1,SF,25.3,1.7,BOS,3.2,6.4
24,2.0,,0.3,5.3,.459,.459,9.0,19.6,.302,0.8,2.5,.442,9.8,22.1,.715,4.7,6.5,82,82,41.4,Antawn Jamison,3.4,2.7,SF,24.9,1.4,GSW,2.4,8.7
23,7.6,AS,0.1,2.3,.484,.481,6.8,14.1,.328,1.6,5.0,.441,8.4,19.1,.790,5.4,6.8,67,67,38.2,Stephon Marbury,0.8,2.2,PG,23.9,1.2,NJN,2.9,3.1
24,5.5,,0.6,7.0,.478,.439,6.0,13.8,.367,2.7,7.4,.413,8.8,21.2,.716,3.1,4.3,81,81,41.9,Antoine Walker,1.9,3.1,PF,23.4,1.7,BOS,3.7,8.9
37,4.5,"MVP-7,AS,NBA3",0.8,6.9,.499,.499,8.2,16.5,.400,0.0,0.1,.498,8.3,16.6,.793,6.6,8.3,81,81,35.7,Karl Malone,1.4,2.7,PF,23.2,1.1,UTA,3.0,8.3
32,8.1,"AS,NBA3",0.3,3.6,.488,.472,7.9,16.7,.375,1.3,3.4,.456,9.2,20.1,.766,3.4,4.5,79,79,41.1,Gary Payton,0.9,2.3,PG,23.1,1.6,SEA,2.6,4.6
24,3.0,"MVP-2,DPOY-3,AS,NBA1",2.3,9.0,.502,.504,8.5,16.8,.259,0.1,0.3,.499,8.6,17.1,.618,5.0,8.1,82,82,38.7,Tim Duncan,3.2,3.0,PF,22.2,0.9,SAS,3.0,12.2
25,4.6,"MVP-11,AS,NBA3",0.2,4.0,.557,.506,5.2,10.3,.433,2.5,5.7,.480,7.7,16.0,.888,4.2,4.8,82,82,38.2,Ray Allen,1.2,2.3,SG,22.0,1.5,MIL,2.5,5.2
24,5.0,"MVP-5,DPOY-2,AS,NBA2",1.8,8.7,.484,.486,8.5,17.4,.288,0.2,0.8,.477,8.7,18.2,.764,4.4,5.8,81,81,39.5,Kevin Garnett,2.7,2.5,PF,22.0,1.4,MIN,2.8,11.4
28,3.3,AS,0.8,5.3,.487,.493,8.3,16.8,.299,0.7,2.4,.468,9.0,19.2,.820,3.3,4.0,76,74,37.0,Glenn Robinson,1.6,2.5,SF,22.0,1.1,MIL,2.9,6.9
22,2.1,NBA3,1.2,7.7,.534,.513,5.4,10.5,.387,1.8,4.8,.474,7.2,15.2,.838,5.5,6.6,82,82,38.1,Dirk Nowitzki,1.5,3.0,PF,21.8,1.0,DAL,1.9,9.2
27,4.4,"MVP-15,AS",0.4,3.9,.487,.481,7.6,15.7,.346,1.1,3.2,.458,8.7,18.9,.775,3.1,4.0,82,82,42.0,Michael Finley,1.3,2.1,SF,21.5,1.4,DAL,2.3,5.2
26,2.1,AS,1.5,8.6,.495,.495,8.2,16.6,,0.0,0.0,.495,8.2,16.6,.700,4.3,6.2,70,70,36.5,Antonio McDyess,3.4,3.1,PF,20.8,0.6,DEN,2.3,12.1
24,3.1,,1.0,6.9,.477,.487,7.3,15.0,.188,0.1,0.8,.472,7.5,15.8,.834,5.5,6.6,81,81,40.0,Shareef Abdur-Rahim,2.2,2.9,SF,20.5,1.1,VAN,2.9,9.1
28,6.0,,0.6,4.5,.480,.476,7.1,14.8,.339,0.8,2.4,.457,7.9,17.3,.828,4.0,4.8,72,72,40.9,Jalen Rose,0.5,3.2,SF,20.5,0.9,IND,2.9,5.0
23,2.2,,0.2,4.5,.531,.501,5.5,11.1,.400,1.9,4.8,.470,7.5,15.9,.856,3.6,4.2,75,75,38.7,Peja StojakoviÄ,1.2,1.9,SF,20.4,1.2,SAC,1.9,5.8
21,3.2,,1.6,6.2,.476,.477,7.8,16.4,.000,0.0,0.0,.476,7.8,16.4,.708,4.5,6.4,74,74,39.3,Elton Brand,3.9,3.3,PF,20.1,1.0,CHI,3.0,10.1
28,5.4,,0.2,6.4,.450,.428,6.2,14.5,.356,1.4,3.8,.413,7.5,18.3,.766,3.7,4.8,76,76,39.3,Jamal Mashburn,1.2,2.4,SF,20.1,1.1,CHH,2.8,7.6
23,6.5,,0.4,4.5,.506,.472,5.2,11.0,.396,1.7,4.2,.451,6.9,15.2,.817,4.5,5.5,80,79,39.9,Steve Francis,2.4,3.4,PG,19.9,1.8,HOU,3.3,6.9
24,3.3,,0.4,2.7,.452,.452,8.0,17.6,.304,0.2,0.8,.446,8.2,18.4,.825,3.1,3.7,61,61,41.6,Ron Mercer,1.2,2.4,SG,19.7,1.3,CHI,2.1,3.9
23,4.9,,0.1,2.8,.481,.448,5.8,12.8,.395,1.5,3.8,.436,7.3,16.7,.846,3.7,4.4,82,77,37.7,Jason Terry,0.5,2.5,SG,19.7,1.3,ATL,2.9,3.3
25,2.5,,0.3,4.0,.471,.454,5.5,12.2,.357,1.1,3.2,.434,6.7,15.4,.831,5.0,6.0,79,49,38.0,Cuttino Mobley,1.1,2.1,SG,19.5,1.1,HOU,2.1,5.0
26,2.8,AS,1.8,5.9,.523,.530,7.0,13.2,.321,0.7,2.1,.501,7.7,15.3,.766,3.2,4.2,77,75,38.2,Rasheed Wallace,1.9,2.7,PF,19.2,1.2,POR,2.1,7.8
